q,age_group,sex,cigsmok,N,wtN
Q1-2017,18,male,0,77,82.104609
Q1-2017,18,male,1,10,12.559423
Q1-2017,18,female,0,58,69.375689
Q1-2017,18,female,1,10,12.528766
Q1-2017,20,male,0,170,171.865683
Q1-2017,20,male,1,60,63.117858
Q1-2017,20,female,0,160,181.207129
Q1-2017,20,female,1,43,47.621251
Q1-2017,25,male,0,115,155.944817
Q1-2017,25,male,1,47,68.424948
Q1-2017,25,female,0,146,163.12948
Q1-2017,25,female,1,46,51.205872
Q1-2017,30,male,0,119,170.89985
Q1-2017,30,male,1,25,39.236175
Q1-2017,30,female,0,149,158.752623
Q1-2017,30,female,1,43,45.562641
Q1-2017,35,male,0,130,157.556533
Q1-2017,35,male,1,27,30.969678
Q1-2017,35,female,0,174,191.547401
Q1-2017,35,female,1,27,28.688821
Q1-2017,40,male,0,138,175.235837
Q1-2017,40,male,1,46,55.185124
Q1-2017,40,female,0,143,165.659614
Q1-2017,40,female,1,38,41.399545
Q1-2017,45,male,0,154,178.416298
Q1-2017,45,male,1,28,32.615747
Q1-2017,45,female,0,165,172.62387
Q1-2017,45,female,1,38,40.103518
Q1-2017,50,male,0,157,184.299654
Q1-2017,50,male,1,43,45.115415
Q1-2017,50,female,0,171,192.236242
Q1-2017,50,female,1,38,35.108337
Q1-2017,55,male,0,176,139.723012
Q1-2017,55,male,1,29,19.693661
Q1-2017,55,female,0,167,159.952164
Q1-2017,55,female,1,27,24.486694
Q1-2017,60,male,0,193,163.475695
Q1-2017,60,male,1,27,21.117203
Q1-2017,60,female,0,158,149.732761
Q1-2017,60,female,1,31,30.594271
Q1-2017,65,male,0,688,434.857021
Q1-2017,65,male,1,62,35.592727
Q1-2017,65,female,0,592,541.991562
Q1-2017,65,female,1,51,43.966653
Q2-2017,18,male,0,69,65.680833
Q2-2017,18,male,1,15,16.968015
Q2-2017,18,female,0,53,55.563969
Q2-2017,18,female,1,12,12.687893
Q2-2017,20,male,0,176,171.098702
Q2-2017,20,male,1,74,71.540411
Q2-2017,20,female,0,194,181.25954
Q2-2017,20,female,1,57,57.622236
Q2-2017,25,male,0,118,150.697431
Q2-2017,25,male,1,46,59.63967
Q2-2017,25,female,0,125,142.363669
Q2-2017,25,female,1,40,46.689916
